identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
217109,A6122,124,Comintern [Communist International] [includes papers on The League against Cruelties and Oppression in the Colonies] File ends 1966.,1927 - 1966,1927,1966,Open with exception,Canberra,False,0
217110,A6122,125,Left Book Club,1938 - 1941,1938,1941,Open,Canberra,False,0
217111,A6122,126,Industrial Workers of the World Volume 1 Part 1,1916 - 1948,1916,1948,Open with exception,Canberra,True,253
217113,A6122,127,Textile Workers Militant Committee,1944 - 1944,1944,1944,Open,Canberra,False,0
217114,A6122,128,Irish Republican Army,1940 - 1944,1940,1944,Open,Canberra,True,63
217116,A6122,129,Catholic action,1946 - 1948,1946,1948,Open,Canberra,True,226
217119,A6122,130,University Labour Club Melbourne,1947 - 1949,1947,1949,Open,Canberra,True,15
217120,A6122,131,Melbourne Trades Hall Council,1945 - 1949,1945,1949,Open,Canberra,False,0
217121,A6122,132,New South Wales Trades and Labour Council,1925 - 1948,1925,1948,Open,Canberra,False,0
217122,A6122,133,Electrical Trades Union,1946 - 1948,1946,1948,Open,Canberra,True,15
217123,A6122,134,Communism (Western Australia - General),1940 - 1940,1940,1940,Open,Canberra,False,0
217125,A6122,135,CPA (Communist Party of Australia) in Queensland,1922 - 1925,1922,1925,Open,Canberra,False,0
217127,A6122,136,Association of New Indonesia (Sarikat Indonesia Baroe (SIBAR),1944 - 1945,1944,1945,Open,Canberra,False,0
217128,A6122,137,Indonesia Club - Sydney,1945 - 1946,1945,1946,Open,Canberra,True,14
217129,A6122,138 PART A,Central Committee of Indonesian Independence,1946 - 1946,1946,1946,Open,Canberra,False,0
217131,A6122,140,Committee of Indonesian Independence,1945 - 1946,1945,1946,Open,Canberra,False,0
217132,A6122,139,Hands Off Indonesia Committee,1945 - 1947,1945,1947,Open,Canberra,True,38
217133,A6122,141,Indonesian Medical Aid Committee,1947 - 1948,1947,1948,Open,Canberra,False,0
217134,A6122,142,Indonesian Independence Committee,1946 - 1947,1946,1947,Open,Canberra,False,0
240752,A6122,2 VOLUME 1,The Association (Post War) and the New Guard (Pre War) Vol 1,1931 - 1949,1931,1949,Open,Canberra,True,303
240753,A6122,2 VOLUME 2,The Association (Post War) and the New Guard (Pre War) Vol 2 [2cm],1949 - 1967,1949,1967,Open with exception,Canberra,True,139
240754,A6122,108,"Communism - CUTTS, Allan Josland",1943 - 1943,1943,1943,Open,Canberra,False,0
240756,A6122,111,Summary of Communism Vol. 1 comprising Summaries 1 to 25 Period June 1922 to Dec. 1923,1922 - 1923,1922,1923,Open,Canberra,True,292
240757,A6122,112,Index of Summary of Communism,1923 - 1923,1923,1923,Open,Canberra,True,70
240758,A6122,113,National Institute of Credit for Italian Work Abroad,1939 - 1943,1939,1943,Open,Canberra,False,0
240759,A6122,114,History of the Lutheran Church in Australia,1800 - 1800,1800,1800,Open,Canberra,False,0
240760,A6122,115,Russian Fascist Union,1936 - 1943,1936,1943,Open,Canberra,True,299
240761,A6122,116,Russian Imperial Union,1943 - 1944,1943,1944,Open,Canberra,False,0
240762,A6122,117,Russian Society,1943 - 1944,1943,1944,Open,Canberra,False,0
240763,A6122,118,Russian Club Woolloongabba,1943 - 1944,1943,1944,Open,Canberra,False,0
240764,A6122,119,Russian Medical Aid Committee,1941 - 1943,1941,1943,Open,Canberra,False,0
240765,A6122,120,Russian Missionary Society - Service,1939 - 1948,1939,1948,Open,Canberra,False,0
240766,A6122,121,Russian Orthodox Church,1943 - 1949,1943,1949,Open,Canberra,False,0
240767,A6122,122,Russian Social Club,1946 - 1947,1946,1947,Open,Canberra,True,17
240768,A6122,123,Russian Sub-Branch of Returned Services League,1948 - 1948,1948,1948,Open,Canberra,True,3
240769,A6122,143,Anti-American activities in Australia,1948 - 1948,1948,1948,Open,Canberra,False,0
240770,A6122,144,Australian Journalists Association,1948 - 1949,1948,1949,Open,Canberra,False,0
240771,A6122,145,Australia and New Zealand Association for the Advancement of Science,1946 - 1949,1946,1949,Open,Canberra,False,0
240772,A6122,146,ALP Industrial Groups,1949 - 1949,1949,1949,Open,Canberra,False,0
240773,A6122,147,American anti-communist activities in Australia [32pp],1947 - 1949,1947,1949,Open,Canberra,False,0
270775,A6122,101,Interrogation of the PETROVS - ASIO briefs (Headquarters),1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270776,A6122,80,"Cabin 12, Solicitors Negotiations",1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270778,A6122,5,Communist Party of Australia. Reaction to the PETROV Affair,1954 - 1955,1954,1955,Open with exception,Canberra,False,0
270779,A6122,3,CPA [Communist Party of Australia] Reaction to the PETROV affair,1800 - 1800,1800,1800,Open with exception,Canberra,False,0
270780,A6122,4,CPA [Communist Party of Australia] reaction to PETROV affair,1954 - 1955,1954,1955,Open with exception,Canberra,True,138
270781,A6122,6,Communist Party of Australia - Reaction to the PETROV Affair,1955 - 1956,1955,1956,Open with exception,Canberra,True,136
272216,A6122,1 PART 1,Douglas Social Credit Movement and United Electors of Australia and Electoral Campaign,1944 - 1945,1944,1945,Open,Canberra,False,0
272217,A6122,1 PART 2,Douglas Social Credit Movement and United Electors of Australia and Electoral Campaign,1937 - 1944,1937,1944,Open,Canberra,True,285
272218,A6122,1 PART 3,Douglas Social Credit Movement,1935 - 1947,1935,1947,Open,Canberra,True,347
272219,A6122,1 PART 4,Douglas Social Credit Movement,1943 - 1945,1943,1945,Open,Canberra,True,335
273760,A6122,151,Australian Peace Council - National,1953 - 1953,1953,1953,Open with exception,Canberra,False,0
273780,A6122,162,World War Two - NSDAP Activities in Australia,1939 - 1953,1939,1953,Open with exception,Canberra,True,233
273781,A6122,161,Nazi Party in Australia Membership Records,1946 - 1949,1946,1949,Open with exception,Canberra,False,0
273787,A6122,72,"Law and Legislation Legal questions relating to theBook. ""The Empire of Fear""",1955 - 1955,1955,1955,Open with exception,Canberra,False,0
