identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
241384,A6283,18,Communist Party of Australia,1954 - 1955,1954,1955,Open with exception,Canberra,False,0
241385,A6283,19,Voks,1954 - 1955,1954,1955,Open with exception,Canberra,False,0
241388,A6283,24,Australian Government Policies,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
241389,A6283,25,Australian Government Departments and Instrumentalities,1954 - 1955,1954,1955,Open with exception,Canberra,False,0
241390,A6283,27,Corrective Labour Camps,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
241391,A6283,28,Leading Government and Political Circles,1954 - 1954,1954,1954,Closed,Canberra,False,0
241392,A6283,31,Trade Unions,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
241393,A6283,35,Dept Department of Supply,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
241394,A6283,37,Red Army,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
241395,A6283,40,Canadian Government Policy,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
241396,A6283,51,American Espionage in Australia,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
241397,A6283,64,Journalists,1952 - 1954,1952,1954,Open with exception,Canberra,False,0
241398,A6283,88,Index to - Reports of Interrogations of PETROVS and ASIO papers,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270790,A6283,84,Reports of Interrogations of PETROVS. Volume 6,1954 - 1955,1954,1955,Open with exception,Canberra,False,0
270791,A6283,82,Reports of Interrogations of PETROVS Vol 4.,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270792,A6283,81,Reports of Interrogations of PETROVS - VOL 3.,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270793,A6283,80,Reports of Interrogations of PETROVS,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270794,A6283,83,Reports of Interrogations of PETROVS - VOL 5,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270796,A6283,79,Report of Interrogations of PETROV Vol 1.,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270797,A6283,169,Index to Overseas Papers,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270798,A6283,91,Statements in Relation to Documents - Vol 2.,1954 - 1955,1954,1955,Open with exception,Canberra,False,0
270799,A6283,116,Press Cuttings Volume 6.,1955 - 1955,1955,1955,Open with exception,Canberra,False,0
270800,A6283,110,PRESS Cuttings Vol 2.,1953 - 1955,1953,1955,Open with exception,Canberra,False,0
270802,A6283,109,Press Cuttings [Volume 1],1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270803,A6283,111,Press Cuttings Volume 1.,1954 - 1954,1954,1954,Open with exception,Canberra,False,0
270804,A6283,114,Press Cuttings Volume 4.,1954 - 1955,1954,1955,Open with exception,Canberra,False,0
