identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
4185820,A6285,3,Photographs designation 'C' and 35mm Ilford FP3. Frames 2-38 designated 'C',1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
4185821,A6285,4,Photographs designated 'D' and 35mm Ilford FP3. Negative 'D',1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
4185822,A6285,5,35mm negative of original statements made to the Royal Commission on Espionage by Vladimir Petrov after being granted political asylum in Australia [2 pages],1954 - 1954,1954,1954,Open,Canberra,True,2
4185824,A6285,7,35mm negative original Petrov statements,1954 - 1955,1954,1955,Not yet examined,Canberra,False,0
4185825,A6285,8,35mm negative original Petrov statements,1954 - 1955,1954,1955,Not yet examined,Canberra,False,0
4185826,A6285,9,Photographs designated 'A' and Ilford 35mm film FP3 negative designated 'A',1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
4185827,A6285,10,35mm negative original (photos of Petrov) designated 'B',1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
4185828,A6285,11,35mm negative original (photos of Petrovs/safehouse) designated 'E',1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
4185829,A6285,12,Vocubulary 1. List of code words and code expressions used in the Russian documents,1954 - 1955,1954,1955,Open,Canberra,True,27
4185830,A6285,13 PART 1,Vocubulary 2. List of code words and code expressions used in the Russian documents,1954 - 1955,1954,1955,Not yet examined,Canberra,False,0
4185831,A6285,14,Cabin 12 3 April 1954 Copy 2 Transcript,1954 - 1955,1954,1955,Not yet examined,Canberra,False,0
4185837,A6285,21,Folio 10. Operation Fairmile,1954 - 1955,1954,1955,Open with exception,Canberra,True,31
4185838,A6285,22,Folio 11. Summary of case [name exempt],1954 - 1955,1954,1955,Open with exception,Canberra,True,20
4185840,A6285,25,Folio 14. Transcripts of recorded conversations,1954 - 1955,1954,1955,Not yet examined,Canberra,False,0
4185871,A6285,13 PART 2,[Draft of list of code words and code expressions used in the Russian documents],1954 - 1955,1954,1955,Not yet examined,Canberra,False,0
7013156,A6285,11,35mm negative original (photos of Petrovs/safehouse) designated 'E'.  Original negatives in 'Ilford' aluminium screw-top canister.,1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
7013157,A6285,4,35mm negative original (photos of Petrovs/safehouse) designated 'D'.  Original negatives in 'Ilford' aluminium screw-top canister.,1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
7013158,A6285,3,Photographs designation 'C' and 35mm Ilford FP3. Frames 2-38 designated 'C'.  Original negatives in 'Ilford' aluminium screw-top canister.,1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
7013159,A6285,9,Photographs designated 'A' and Ilford 35mm film FP3 negative designated 'A'.  Original negatives in 'Ilford' aluminium screw-top canister.,1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
7013160,A6285,10,35mm negative original (photos of Petrov) designated 'B'.  Original negatives in 'Ilford' aluminium screw-top canister.,1954 - 1954,1954,1954,Not yet examined,Canberra,False,0
7013161,A6285,5,35mm negative of original statements made to the Royal Commission on Espionage by Vladimir Petrov after being granted political asylum in Australia [2 pages].  Original negatives in 'Ilford' aluminium screw-top canister.,1954 - 1954,1954,1954,Open,Canberra,False,0
7462005,A6285,9,Evdokia Petrov and ASIO officers (identities suppressed for national security reasons) on the beach after being granted political asylum in Australia. Photograph presented as evidence to the Royal Commission on Espionage,1954 - 1954,1954,1954,Open with exception,Canberra,True,1
