identifier,series,control_symbol,title,contents_dates,start_date,end_date,access_status,location,digitised_status,digitised_pages
241500,A6335,1,"New South Wales Police Organisation - ramifications and branches of ""The National Socialist German Workers Party"" in Australia and Germany",1940 - 1940,1940,1940,Open,Canberra,True,125
241501,A6335,2,National Socialist Spheres of influence in NSW,1940 - 1940,1940,1940,Open,Canberra,True,180
241502,A6335,3,Australia First Movement (The Publicist),1939 - 1942,1939,1942,Open,Canberra,True,105
272220,A6335,4,Australia - Soviet Friendship League.,1942 - 1942,1942,1942,Open,Canberra,False,0
272221,A6335,5,"Christian Socialist Movement, Sydney.",1936 - 1943,1936,1943,Open,Canberra,False,0
273915,A6335,34,Accommodation Postal Addresses for Communist Correspondence,1942 - 1942,1942,1942,Open,Canberra,False,0
273916,A6335,10 PART 1,Communism in the fighting services,1937 - 1945,1937,1945,Open,Canberra,True,187
273917,A6335,10 PART 2,Communism in the fighting services,1945 - 1945,1945,1945,Open,Canberra,False,0
273918,A6335,23,Organisations - Activities Young Labour League,1941 - 1941,1941,1941,Open,Canberra,False,0
273919,A6335,31,Communist Party - NSW - Discipline,1931 - 1935,1931,1935,Open,Canberra,True,140
273920,A6335,26,Spanish Relief - 1937,1937 - 1937,1937,1937,Open,Canberra,False,0
279470,A6335,39,Japanese Fifth Column,1941 - 1942,1941,1942,Open,Canberra,True,102
279471,A6335,40,Roman Catholic Missions,1940 - 1949,1940,1949,Open,Canberra,False,0
426559,A6335,21,Organisations. Workers Art Guild,1939 - 1956,1939,1956,Open with exception,Canberra,True,88
426560,A6335,37,James Irvan HORN. Volume 1,1942 - 1943,1942,1943,Open with exception,Canberra,False,0
426561,A6335,38,James Irvan HORN Volume 2,1943 - 1946,1943,1946,Open with exception,Canberra,False,0
427922,A6335,41,"BUTLER, Dr Graham Arthur",1940 - 1949,1940,1949,Open with exception,Canberra,True,7
444760,A6335,15,A J Dalziel,1936 - 1950,1936,1950,Open,Canberra,False,0
444764,A6335,17,Donald William MCLEOD,1946 - 1946,1946,1946,Open,Canberra,True,14
707144,A6335,30,Broken Hill Miners - Communist Activity,1939 - 1941,1939,1941,Open,Canberra,True,45
707145,A6335,32,Communist Party Queensland. Includes copy of 'Standard' 2 Oct 1942,1942 - 1942,1942,1942,Open,Canberra,True,26
707146,A6335,33,Publicity Censorship Directions,1944 - 1944,1944,1944,Open,Canberra,True,22
707147,A6335,35,German activities Sydney (1942),1942 - 1942,1942,1942,Open,Canberra,False,0
707148,A6335,36,"Miscellaneous Publications 1930-1950. Communism, Housewives' Association, Yugoslavia",1930 - 1950,1930,1950,Open,Canberra,True,398
707149,A6335,7,Tribune,1940 - 1941,1940,1941,Open,Canberra,False,0
707150,A6335,8,General Intelligence Notes,1942 - 1942,1942,1942,Open,Canberra,True,44
707151,A6335,9,Censors reports,1943 - 1945,1943,1945,Open,Canberra,True,172
707152,A6335,11,Communism - South Australia,1930 - 1947,1930,1947,Open,Canberra,True,393
707153,A6335,22,Intelligence Gathering - New South Wales,1939 - 1945,1939,1945,Open,Canberra,False,0
707154,A6335,24,Council Against Unemployment,1939 - 1941,1939,1941,Open,Canberra,False,0
707155,A6335,25,Censor's Report - Associations and activities of special security interest,1942 - 1942,1942,1942,Open,Canberra,True,23
707156,A6335,27,Communist Literature,1939 - 1942,1939,1942,Open,Canberra,True,302
707157,A6335,28,Communist Party of Australia,1934 - 1935,1934,1935,Open,Canberra,True,66
707158,A6335,29,Communist Party - New South Wales,1930 - 1949,1930,1949,Open,Canberra,False,0
707159,A6335,12,Australian Council for Civil Liberties,1939 - 1940,1939,1940,Open,Canberra,False,0
707160,A6335,13,Nicholas Lagutin,1922 - 1922,1922,1922,Open,Canberra,True,7
707161,A6335,14,C1822/18 The Democritus League - Application to Publish a Monthly Magazine in the Greek language,1935 - 1951,1935,1951,Open,Canberra,True,36
707162,A6335,16,44/9436 Kenneth Cosgrove,1944 - 1944,1944,1944,Open,Canberra,True,26
707163,A6335,18,ASFL (Australia-Soviet Friendship League),1941 - 1944,1941,1944,Open,Canberra,True,30
707164,A6335,19,1714 Aid to Russia Committee,1941 - 1942,1941,1942,Open,Canberra,True,27
707165,A6335,20,879/52 Friends of the Soviet Union,1942 - 1942,1942,1942,Open,Canberra,False,0
707166,A6335,6,Communist Activities,1940 - 1946,1940,1946,Open,Canberra,True,42
